"values","ind"
0.5629,"RBFSVM"
0.5614,"RBFSVM"
0.5561,"RBFSVM"
0.5577,"RBFSVM"
0.5399,"RBFSVM"
0.5586,"RBFSVM"
0.5637,"RBFSVM"
0.5467,"RBFSVM"
0.5661,"RBFSVM"
0.5644,"RBFSVM"
0.5635,"RBFSVM"
0.5664,"RBFSVM"
0.5727,"RBFSVM"
0.569,"RBFSVM"
0.5484,"RBFSVM"
0.5625,"RBFSVM"
0.5627,"RBFSVM"
0.5613,"RBFSVM"
0.5661,"RBFSVM"
0.5504,"RBFSVM"
0.5599,"RBFSVM"
0.562,"RBFSVM"
0.5692,"RBFSVM"
0.5679,"RBFSVM"
0.5743,"RBFSVM"
0.5498,"RBFSVM"
0.5601,"RBFSVM"
0.5575,"RBFSVM"
0.5625,"RBFSVM"
0.5455,"RBFSVM"
0.5321,"RBFSVM"
0.5647,"RBFSVM"
0.5578,"RBFSVM"
0.5607,"RBFSVM"
0.5492,"RBFSVM"
0.5686,"RBFSVM"
0.5619,"RBFSVM"
0.5625,"RBFSVM"
0.5623,"RBFSVM"
0.5548,"RBFSVM"
0.5685,"RBFSVM"
0.5459,"RBFSVM"
0.5643,"RBFSVM"
0.5556,"RBFSVM"
0.5659,"RBFSVM"
0.5613,"RBFSVM"
0.558,"RBFSVM"
0.5629,"RBFSVM"
0.5487,"RBFSVM"
0.5722,"RBFSVM"
0.5657,"RBFSVM"
0.5499,"RBFSVM"
0.5728,"RBFSVM"
0.5474,"RBFSVM"
0.5663,"RBFSVM"
0.5426,"RBFSVM"
0.5597,"RBFSVM"
0.5576,"RBFSVM"
0.5668,"RBFSVM"
0.5624,"RBFSVM"
0.5666,"RBFSVM"
0.5684,"RBFSVM"
0.5536,"RBFSVM"
0.568,"RBFSVM"
0.5574,"RBFSVM"
0.5443,"RBFSVM"
0.5634,"RBFSVM"
0.5582,"RBFSVM"
0.5673,"RBFSVM"
0.5764,"RBFSVM"
0.5639,"RBFSVM"
0.5634,"RBFSVM"
0.5478,"RBFSVM"
0.5556,"RBFSVM"
0.5635,"RBFSVM"
0.5582,"RBFSVM"
0.5719,"RBFSVM"
0.5587,"RBFSVM"
0.5504,"RBFSVM"
0.5654,"RBFSVM"
0.5696,"RBFSVM"
0.5683,"RBFSVM"
0.5696,"RBFSVM"
0.5585,"RBFSVM"
0.5755,"RBFSVM"
0.5613,"RBFSVM"
0.5509,"RBFSVM"
0.5612,"RBFSVM"
0.5659,"RBFSVM"
0.5645,"RBFSVM"
0.5503,"RBFSVM"
0.5476,"RBFSVM"
0.5639,"RBFSVM"
0.5552,"RBFSVM"
0.5737,"RBFSVM"
0.5628,"RBFSVM"
0.5586,"RBFSVM"
0.5521,"RBFSVM"
0.5679,"RBFSVM"
0.5692,"RBFSVM"
0.5622,"RBFSVM"
0.5661,"RBFSVM"
0.5523,"RBFSVM"
